Size	   Bubble Sort	Selection Sort	Insertion Sort
50	164948.53	40398.24	42555.324
100	51959.645	21631.795	79029.83
150	103219.06	148227.86	193642.98
200	157498.42	79270.41	42977.19
250	283723.38	132036.66	72212.13
300	371690.38	178429.19	107048.86
350	598922.2	298003.3	125617.6
400	681652.06	308589.1	170520.6
450	889728.3	438685.53	218381.81
500	1066489.1	478037.56	267902.6
550	1292430.1	565516.4	316883.22
600	1547782.4	678380.6	371326.1
650	1755893.8	776599.75	434480.7
700	2044366.2	970366.25	501412.53
750	2358751.2	1089298.2	571433.06
800	2636232.8	1158816.6	651769.06
850	3012644.8	1332487.8	720014.4
900	3382716.2	1467198.5	837875.2
950	4332199.5	1720528.4	902325.4
1000	4294412.5	1834762.8	1038685.5
